player,position,team,claude_overall_rank,claude_pos_rank,claude_score,factor_consensus,factor_rec_upside,factor_age,factor_volume,factor_team,factor_perf,fppg_ppr,age
Derrick Henry,RB,BAL,64,30,52.33,23.2,10.1,2.4,12.6,0.0,4.0,16.44,32.0
Josh Downs,WR,IND,65,30,51.67,12.4,5.5,15.0,3.1,5.4,10.3,8.65,24.0
Colston Loveland,TE,CHI,66,6,51.45,19.4,5.4,13.5,3.0,4.2,6.0,10.32,22.0
DK Metcalf,WR,PIT,67,31,51.15,16.6,9.3,11.4,4.0,6.5,3.3,12.48,28.0
Romeo Doubs,WR,NE,68,32,50.55,11.2,7.3,15.0,3.4,2.7,11.0,10.34,26.0
Sam LaPorta,TE,DET,69,7,50.3,15.5,6.4,15.0,3.3,6.2,3.9,11.88,25.0
Travis Hunter,WR,JAX,70,33,49.82,11.2,5.6,15.0,3.1,4.4,10.5,9.11,23.0
Jacory Croskey-Merritt,RB,WAS,71,31,49.75,12.8,7.1,15.0,8.8,2.1,4.0,8.25,25.0
Jalen Coker,WR,CAR,72,34,48.89,10.8,6.2,15.0,2.7,4.0,10.1,8.22,24.0
Chuba Hubbard,RB,CAR,73,32,48.83,18.3,5.1,13.2,6.4,4.0,1.8,8.36,26.0
J.K. Dobbins,RB,DEN,74,33,48.81,14.8,5.1,11.4,6.3,6.4,4.8,11.59,27.0
Jordan Addison,WR,MIN,75,35,48.75,13.8,7.7,15.0,3.2,4.7,4.3,9.65,24.0
Rachaad White,RB,WAS,76,34,48.69,13.3,5.2,11.4,6.5,2.1,10.2,8.41,27.0
Ricky Pearsall,WR,SF,77,36,48.18,14.0,7.6,15.0,3.2,4.9,3.6,9.84,25.0
Bhayshul Tuten,RB,JAX,78,35,48.17,17.5,3.1,15.0,3.9,4.4,4.4,5.91,24.0
David Montgomery,RB,HOU,79,36,47.59,18.5,5.0,9.6,6.3,5.2,3.0,9.82,28.0
Tyler Allgeier,RB,ARI,80,37,47.43,9.9,4.1,13.2,5.2,10.0,5.0,7.24,26.0
Joe Burrow,QB,CIN,81,1,47.21,18.1,0.0,15.0,0.0,9.4,4.8,16.81,29.0
Zach Charbonnet,RB,SEA,82,38,47.16,11.9,6.0,15.0,7.6,1.8,4.9,11.34,25.0
Carnell Tate,WR,TEN,83,37,47.0,18.7,0.0,13.5,0.0,7.9,6.9,,21.0
Tyjae Spears,RB,TEN,84,39,46.69,8.8,4.1,15.0,5.2,7.9,5.6,8.59,24.0
Courtland Sutton,WR,DEN,85,38,46.62,16.4,8.4,7.8,3.7,6.4,3.8,12.92,30.0
Jake Ferguson,TE,DAL,86,8,46.41,12.2,4.5,15.0,2.9,6.4,5.4,11.06,27.0
Rhamondre Stevenson,RB,NE,87,40,46.05,15.8,5.2,9.6,6.5,2.7,6.2,12.77,28.0
Kenneth Walker,RB,KC,88,41,45.56,23.1,0.0,9.0,0.0,6.6,6.9,,
Jalen McMillan,WR,TB,89,39,45.44,9.4,4.5,15.0,1.9,4.8,9.8,7.48,24.0
Terry McLaurin,WR,WAS,90,40,45.32,19.3,9.2,7.8,4.1,2.1,2.9,11.42,30.0
Davante Adams,WR,LAR,91,41,45.15,19.9,9.3,2.4,4.5,4.8,4.3,15.92,33.0
Aaron Jones,RB,MIN,92,42,45.08,16.3,5.9,0.0,7.4,4.7,10.8,9.89,59.0
Dylan Sampson,RB,CLE,93,43,44.85,8.0,3.2,14.2,4.0,6.3,9.2,5.84,21.0
Jordan Mason,RB,MIN,94,44,44.73,11.4,6.0,11.4,7.5,4.7,3.8,8.06,27.0
Jordyn Tyson,WR,NO,95,42,44.54,17.6,0.0,13.5,0.0,6.6,6.9,,21.0
Marvin Harrison Jr,WR,ARI,96,43,44.45,18.6,0.0,9.0,0.0,10.0,6.9,,
Jakobi Meyers,WR,JAX,97,44,44.36,14.8,7.2,9.6,4.1,4.4,4.3,11.96,29.0
Michael Pittman,WR,PIT,98,44,44.36,16.0,6.6,0.0,3.7,6.5,11.6,11.91,50.0
Chig Okonkwo,TE,WAS,99,9,44.29,9.0,5.9,15.0,2.7,2.1,9.8,7.29,26.0
Isaiah Likely,TE,NYG,100,10,44.06,10.9,4.3,15.0,2.1,2.9,8.9,5.14,26.0
Xavier Worthy,WR,KC,101,46,43.86,11.0,6.5,15.0,2.9,6.6,1.9,7.85,23.0
Jaxson Dart,QB,NYG,102,2,43.75,15.2,0.0,12.0,0.0,2.9,13.7,17.26,23.0
Dalton Schultz,TE,HOU,103,11,43.7,7.0,5.7,11.4,3.4,5.2,11.0,10.45,29.0
Brenton Strange,TE,JAX,104,12,43.52,5.8,4.8,15.0,2.8,4.4,10.8,9.83,25.0
Jayden Reed,WR,GB,105,47,43.06,12.8,5.2,15.0,3.0,2.4,4.6,9.7,26.0
Keaton Mitchell,RB,LAC,106,45,42.98,9.3,2.2,15.0,2.7,5.2,8.6,4.26,24.0
Khalil Shakir,WR,BUF,107,48,42.88,10.5,8.5,15.0,3.8,1.1,4.0,10.4,26.0
Justin Herbert,QB,LAC,108,3,42.68,14.7,0.0,15.0,0.0,5.2,7.8,17.93,28.0
Juwan Johnson,TE,NO,109,13,42.64,4.7,5.7,11.4,3.1,6.6,11.1,10.58,29.0
Nicholas Singleton,RB,TEN,110,46,42.55,12.7,0.0,15.0,0.0,7.9,6.9,,22.0
Jayden Higgins,WR,HOU,111,49,42.3,10.4,5.1,15.0,2.2,5.2,4.4,7.62,23.0
Jonah Coleman,RB,DEN,112,47,42.16,13.8,0.0,15.0,0.0,6.4,6.9,,22.0
Brian Robinson,RB,ATL,113,48,42.12,12.0,2.7,11.4,3.4,4.3,8.3,3.68,27.0
Jadarian Price,RB,SEA,114,49,42.05,18.4,0.0,15.0,0.0,1.8,6.9,,22.0
Tyler Shough,QB,NO,115,4,42.02,8.6,0.0,14.2,0.0,6.6,12.5,14.36,26.0
Drake Maye,QB,NE,116,5,41.88,18.4,0.0,12.0,0.0,2.7,8.8,20.7,23.0
Trevor Lawrence,QB,JAX,117,6,41.81,14.1,0.0,14.2,0.0,4.4,9.1,19.89,26.0
Patrick Mahomes,QB,KC,118,7,41.63,13.1,0.0,15.0,0.0,6.6,6.9,20.41,30.0
Jalen Nailor,WR,LV,119,50,41.61,5.6,4.6,13.2,2.1,7.0,9.2,5.92,27.0
Isiah Pacheco,RB,DET,120,50,41.09,10.3,5.0,11.4,6.2,6.2,2.1,6.72,27.0
Dalton Kincaid,TE,BUF,121,14,40.95,10.4,6.0,15.0,2.7,1.1,5.8,10.51,26.0
Jalen Hurts,QB,PHI,122,8,40.84,17.0,0.0,15.0,0.0,3.0,5.8,18.82,27.0
Jerry Jeudy,WR,CLE,123,51,40.57,7.3,8.3,13.2,3.7,6.3,1.8,7.1,27.0
Daniel Jones,QB,IND,124,9,40.52,6.4,0.0,15.0,0.0,5.4,13.7,17.42,29.0
Rashid Shaheed,WR,SEA,125,52,40.52,8.4,8.1,13.2,4.0,1.8,5.1,11.6,27.0
Isaac TeSlaa,WR,DET,126,53,40.36,6.2,3.0,15.0,1.0,6.2,9.0,5.42,24.0
Bo Nix,QB,DEN,127,10,40.34,13.2,0.0,14.2,0.0,6.4,6.5,17.93,26.0
DJ Moore,WR,BUF,128,54,40.33,18.4,5.7,9.6,2.9,1.1,2.6,10.13,29.0
KC Concepcion,WR,CLE,129,55,40.01,13.4,0.0,13.5,0.0,6.3,6.9,,21.0
Dak Prescott,QB,DAL,130,11,39.8,14.7,0.0,11.4,0.0,6.4,7.3,18.46,32.0
Brock Purdy,QB,SF,131,12,39.69,13.4,0.0,14.2,0.0,4.9,7.2,19.71,26.0
Caleb Williams,QB,CHI,132,13,39.68,15.0,0.0,12.8,0.0,4.2,7.7,18.72,24.0
Emmett Johnson,RB,KC,133,51,39.61,11.1,0.0,15.0,0.0,6.6,6.9,,22.0
George Kittle,TE,SF,134,15,39.34,13.6,6.7,6.0,3.8,4.9,4.4,14.68,32.0
Makai Lemon,WR,PHI,135,56,39.31,15.9,0.0,13.5,0.0,3.0,6.9,,21.0
Lamar Jackson,QB,BAL,136,14,39.26,19.8,0.0,15.0,0.0,0.0,4.4,16.53,29.0
Jauan Jennings,WR,MIN,137,57,38.94,7.9,7.0,11.4,3.5,4.7,4.4,11.55,28.0
AJ Barner,TE,SEA,138,16,38.86,5.1,4.2,15.0,2.5,1.8,10.3,8.66,24.0
Alvin Kamara,RB,NO,139,52,38.82,10.1,6.4,6.0,8.0,6.6,1.7,9.15,30.0
Jayden Daniels,QB,WAS,140,15,38.6,18.4,0.0,13.5,0.0,2.1,4.6,16.33,25.0
Sam Darnold,QB,SEA,141,16,38.56,9.4,0.0,15.0,0.0,1.8,12.3,13.85,28.0
Trey Benson,RB,ARI,142,53,38.28,4.7,1.5,15.0,1.9,10.0,5.1,8.85,23.0
Brian Thomas,WR,JAX,143,58,38.21,17.9,0.0,9.0,0.0,4.4,6.9,,
Dallas Goedert,TE,PHI,144,17,38.06,11.3,6.0,7.8,3.7,3.0,6.2,12.34,31.0
Mike Evans,WR,SF,145,59,37.99,17.7,8.8,0.0,4.3,4.9,2.3,10.6,59.0
Hunter Henry,TE,NE,146,18,37.94,7.5,5.9,7.8,3.1,2.7,11.0,10.52,31.0
Luther Burden,WR,CHI,147,60,37.84,17.7,0.0,9.0,0.0,4.2,6.9,,
Josh Allen,QB,BUF,148,17,37.12,21.3,0.0,7.8,0.0,1.1,6.9,22.79,34.0
Jonathon Brooks,RB,CAR,149,54,36.99,11.1,0.0,15.0,0.0,4.0,6.9,,22.0
Matthew Golden,WR,GB,150,61,36.8,11.2,5.2,14.2,2.2,2.4,1.6,5.0,22.0
Cam Ward,QB,TEN,151,18,36.69,4.8,0.0,12.8,0.0,7.9,11.2,10.98,24.0
Harold Fannin,TE,CLE,152,19,36.31,14.2,0.0,9.0,0.0,6.3,6.9,,
T.J. Hockenson,TE,MIN,153,20,36.18,8.0,4.9,13.2,2.8,4.7,2.6,7.52,28.0
Denzel Boston,WR,CLE,154,62,35.64,8.2,0.0,14.2,0.0,6.3,6.9,,22.0
Kyler Murray,QB,MIN,155,19,35.51,9.8,0.0,15.0,0.0,4.7,6.0,15.56,28.0
Tyreek Hill,WR,,156,63,35.17,7.8,10.8,4.2,4.2,4.8,3.3,13.38,32.0
Eli Stowers,TE,PHI,157,21,35.03,10.9,0.0,14.2,0.0,3.0,6.9,,23.0
Kaytron Allen,RB,WAS,158,55,35.02,11.1,0.0,15.0,0.0,2.1,6.9,,23.0
Jared Goff,QB,DET,159,20,34.92,8.4,0.0,13.2,0.0,6.2,7.2,17.47,31.0
Chris Godwin,WR,TB,160,64,34.9,14.3,0.0,9.0,0.0,4.8,6.9,,
De'Zhaun Stribling,WR,SF,161,65,34.65,7.9,0.0,15.0,0.0,4.9,6.9,,23.0
Germie Bernard,WR,PIT,162,66,34.51,6.8,0.0,14.2,0.0,6.5,6.9,,22.0
Fernando Mendoza,QB,LV,163,21,34.44,9.3,0.0,11.2,0.0,7.0,6.9,,22.0
Demond Claiborne,RB,MIN,164,56,34.13,7.5,0.0,15.0,0.0,4.7,6.9,,22.0
Travis Kelce,TE,KC,165,22,34.09,13.8,6.3,0.0,3.6,6.6,3.8,11.36,36.0
Keon Coleman,WR,BUF,166,67,34.08,4.9,6.3,15.0,3.0,1.1,3.8,8.53,23.0
Omar Cooper,WR,NYJ,167,68,33.3,13.8,0.0,9.0,0.0,3.6,6.9,,
Chris Rodriguez,RB,JAX,168,57,33.29,13.0,0.0,9.0,0.0,4.4,6.9,,
David Njoku,TE,LAC,169,23,33.27,7.7,4.1,11.4,2.2,5.2,2.7,7.85,29.0
Stefon Diggs,WR,,170,69,33.24,8.9,6.9,4.2,3.9,4.8,4.6,12.37,32.0
Tyrone Tracy,RB,NYG,171,58,33.11,14.4,0.0,9.0,0.0,2.9,6.9,,
Tank Bigsby,RB,PHI,172,59,33.08,7.4,2.0,15.0,2.5,3.0,3.1,3.76,23.0
Jordan Love,QB,GB,173,22,32.49,7.9,0.0,15.0,0.0,2.4,7.2,15.68,27.0
Malik Willis,QB,MIA,174,23,32.06,6.3,0.0,15.0,0.0,3.9,6.9,,27.0
Kenyon Sadiq,TE,NYJ,175,24,32.02,8.8,0.0,12.8,0.0,3.6,6.9,,21.0
Bryce Young,QB,CAR,176,24,31.73,7.8,0.0,12.8,0.0,4.0,7.1,13.63,24.0
Zachariah Branch,WR,ATL,177,70,31.56,6.2,0.0,14.2,0.0,4.3,6.9,,22.0
Baker Mayfield,QB,TB,178,25,31.31,8.2,0.0,13.2,0.0,4.8,5.2,16.0,31.0
Malachi Fields,WR,NYG,179,71,31.21,6.5,0.0,15.0,0.0,2.9,6.9,,23.0
Matthew Stafford,QB,LAR,180,26,30.97,10.6,0.0,0.6,0.0,4.8,15.0,20.61,38.0
Chris Bell,WR,MIA,181,72,30.28,6.0,0.0,13.5,0.0,3.9,6.9,,21.0
C.J. Stroud,QB,HOU,182,27,30.28,5.1,0.0,12.8,0.0,5.2,7.2,14.9,24.0
Braelon Allen,RB,NYJ,183,60,30.24,6.4,0.7,15.0,0.9,3.6,3.7,3.82,22.0
Mark Andrews,TE,BAL,184,25,29.81,8.8,5.3,9.6,3.0,0.0,3.1,7.71,30.0
Kaelon Black,RB,SF,185,61,29.76,3.0,0.0,15.0,0.0,4.9,6.9,,24.0
Skyler Bell,WR,BUF,186,73,28.97,5.9,0.0,15.0,0.0,1.1,6.9,,23.0
Ty Simpson,QB,LAR,187,28,28.87,5.2,0.0,12.0,0.0,4.8,6.9,,23.0
Elijah Sarratt,WR,BAL,188,74,28.76,6.9,0.0,15.0,0.0,0.0,6.9,,23.0
Tre' Harris,WR,LAC,189,75,27.33,6.3,0.0,9.0,0.0,5.2,6.9,,
Tank Dell,WR,HOU,190,76,27.13,0.0,0.0,15.0,0.0,5.2,6.9,,26.0
Deebo Samuel,WR,,191,77,26.49,5.8,0.0,9.0,0.0,4.8,6.9,,
Brandon Aiyuk,WR,SF,192,78,26.25,8.2,0.0,11.4,0.0,4.9,1.8,,28.0
Ted Hurst,WR,TB,193,79,26.08,5.4,0.0,9.0,0.0,4.8,6.9,,
Adam Randall,RB,BAL,194,62,25.96,4.8,0.0,14.2,0.0,0.0,6.9,,21.0
Antonio Williams,WR,WAS,195,80,25.74,5.4,0.0,11.4,0.0,2.1,6.9,,28.0
Mike Washington,RB,LV,196,63,22.58,8.7,0.0,0.0,0.0,7.0,6.9,,72.0
Oronde Gadsden,TE,LAC,197,26,20.28,8.2,0.0,0.0,0.0,5.2,6.9,,54.0
Kaleb Johnson,RB,PIT,198,64,16.61,7.5,0.9,0.6,1.1,6.5,0.0,0.88,33.0
Chris Brazzell,WR,CAR,199,81,16.42,5.5,0.0,0.0,0.0,4.0,6.9,,50.0
