player,position,team,claude_score,fppg_ppr,games,claude_overall_rank,claude_pos_rank
Tyrone Tracy Jr.,RB,NYG,23.51,10.72,15,131,29
Luke McCaffrey,WR,WAS,23.49,5.7,9,132,95
Travis Kelce,TE,KC,23.48,11.36,17,133,9
Jake Bobo,WR,SEA,23.25,0.8,5,134,96
Kenneth Walker III,RB,SEA,23.24,11.29,17,135,30
Matthew Golden,WR,GB,23.05,5.0,14,136,97
Kevin Austin Jr.,WR,NO,22.94,6.6,5,137,98
Sterling Shepard,WR,TB,22.82,6.31,13,138,99
Xavier Hutchinson,WR,HOU,22.81,6.12,16,139,100
Josh Allen,QB,BUF,22.79,22.79,16,140,1
Sam LaPorta,TE,DET,22.77,11.88,9,141,10
Dontayvion Wicks,WR,GB,22.77,5.83,13,142,101
Josh Reynolds,WR,NYJ,22.72,4.62,5,143,102
Tyler Lockett,WR,LV,22.68,5.01,10,144,103
Alvin Kamara,RB,NO,22.56,9.15,11,145,31
Marvin Mims Jr.,WR,DEN,22.53,6.33,15,146,104
Jordan Whittington,WR,LA,22.4,2.42,15,147,105
Christian Kirk,WR,HOU,22.38,5.26,11,148,106
Zach Ertz,TE,WAS,22.18,9.72,13,149,11
DeeJay Dallas,RB,JAX,22.16,0.7,3,150,32
Quinshon Judkins,RB,CLE,22.01,12.13,14,151,33
RJ Harvey,RB,DEN,21.96,12.15,17,152,34
Kendrick Bourne,WR,SF,21.86,6.58,14,153,107
Dalton Schultz,TE,HOU,21.84,10.45,17,154,12
Tyjae Spears,RB,TEN,21.29,8.59,13,155,35
Rachaad White,RB,TB,21.29,8.41,17,156,36
Zach Charbonnet,RB,SEA,21.14,11.34,16,157,37
Xavier Legette,WR,CAR,21.07,5.95,15,158,108
Juwan Johnson,TE,NO,21.07,10.58,17,159,13
Scott Miller,WR,PIT,21.03,3.04,5,160,109
Justice Hill,RB,BAL,20.97,6.52,10,161,38
Tim Patrick,WR,JAX,20.95,3.98,13,162,110
Hunter Henry,TE,NE,20.84,10.52,17,163,14
Kimani Vidal,RB,LAC,20.81,9.07,13,164,39
Dante Pettis,WR,NO,20.76,2.46,8,165,111
Malik Heath,WR,GB,20.72,2.09,7,166,112
Emari Demercado,RB,ARI,20.72,4.86,12,167,40
Drake Maye,QB,NE,20.7,20.7,17,168,2
Jalen Nailor,WR,MIN,20.69,5.92,17,169,113
Adam Thielen,WR,PIT,20.66,4.54,5,170,114
Andrei Iosivas,WR,CIN,20.63,5.99,15,171,115
Matthew Stafford,QB,LA,20.61,20.61,17,172,3
James Conner,RB,ARI,20.56,11.1,3,173,41
Rashod Bateman,WR,BAL,20.44,4.26,13,174,116
Patrick Mahomes,QB,KC,20.41,20.41,14,175,4
Tory Horton,WR,SEA,20.36,8.14,8,176,117
Hunter Renfrow,WR,CAR,20.36,5.98,6,177,118
Colston Loveland,TE,CHI,20.31,10.32,16,178,15
David Montgomery,RB,DET,20.29,9.82,17,179,42
Kyle Monangai,RB,CHI,20.24,8.63,17,180,43
Cedric Tillman,WR,CLE,20.06,5.0,12,181,119
Dalton Kincaid,TE,BUF,19.96,10.51,12,182,16
Trevor Lawrence,QB,JAX,19.89,19.89,17,183,5
Chuba Hubbard,RB,CAR,19.86,8.36,15,184,44
Gabe Davis,WR,BUF,19.86,5.15,6,185,120
Woody Marks,RB,HOU,19.82,9.07,16,186,45
Brock Purdy,QB,SF,19.71,19.71,9,187,6
Jake Ferguson,TE,DAL,19.71,11.06,17,188,17
Jordan Mason,RB,MIN,19.7,8.06,16,189,46
Darren Waller,TE,MIA,19.5,9.86,9,190,18
Theo Johnson,TE,NYG,19.48,8.52,15,191,19
Curtis Samuel,WR,BUF,19.46,3.52,6,192,121
DeAndre Hopkins,WR,BAL,19.45,3.94,17,193,122
Miles Sanders,RB,DAL,19.28,6.68,4,194,47
Brandin Cooks,WR,NO,19.19,3.94,9,195,123
Isaiah Williams,WR,NYJ,19.12,4.05,15,196,124
Michael Carter,RB,ARI,19.09,7.62,13,197,48
Isiah Pacheco,RB,KC,19.08,6.72,13,198,49
KaVontae Turpin,WR,DAL,19.07,5.63,15,199,125
Zay Jones,WR,ARI,19.02,5.05,6,200,126
Jacory Croskey-Merritt,RB,WAS,18.99,8.25,17,201,50
Jalen Hurts,QB,PHI,18.82,18.82,16,202,7
Mark Andrews,TE,BAL,18.78,7.71,17,203,20
Brenton Strange,TE,JAX,18.75,9.83,12,204,21
Lil'Jordan Humphrey,WR,DEN,18.75,5.02,5,205,127
Caleb Williams,QB,CHI,18.72,18.72,17,206,8
Kareem Hunt,RB,KC,18.65,8.55,17,207,51
Cade Otton,TE,TB,18.64,8.15,15,208,22
Treylon Burks,WR,WAS,18.63,3.62,8,209,128
Jamari Thrash,WR,CLE,18.61,2.59,8,210,129
Tyrell Shavers,WR,BUF,18.55,4.14,11,211,130
Jimmy Horn Jr.,WR,CAR,18.5,2.87,10,212,131
Dak Prescott,QB,DAL,18.46,18.46,17,213,9
Chris Moore,WR,WAS,18.44,3.86,10,214,132
Josh Palmer,WR,BUF,18.39,4.36,12,215,133
Tyquan Thornton,WR,KC,18.36,6.73,12,216,134
Isaiah Davis,RB,NYJ,18.34,4.45,16,217,52
Jeremy McNichols,RB,WAS,18.3,4.54,16,218,53
Tyler Johnson,WR,NYJ,18.19,4.19,9,219,135
Blake Corum,RB,LA,18.18,7.19,17,220,54
Jawhar Jordan,RB,HOU,18.11,7.42,4,221,55
Trayveon Williams,RB,CLE,17.99,4.05,4,222,56
Bo Nix,QB,DEN,17.93,17.93,17,223,10
Justin Herbert,QB,LAC,17.93,17.93,16,224,10
Greg Dortch,WR,ARI,17.91,6.26,12,225,136
Mason Taylor,TE,NYJ,17.9,6.84,13,226,23
Isaiah Hodgins,WR,NYG,17.87,4.58,6,227,137
Oronde Gadsden II,TE,LAC,17.84,8.76,15,228,24
Noah Brown,WR,WAS,17.76,3.32,4,229,138
Tez Johnson,WR,TB,17.75,6.16,15,230,139
Tre Harris,WR,LAC,17.62,4.34,16,231,140
Shedrick Jackson,WR,LV,17.52,5.3,3,232,141
Jared Goff,QB,DET,17.47,17.47,17,233,12
Daniel Jones,QB,IND,17.42,17.42,13,234,13
Jaxson Dart,QB,NYG,17.26,17.26,14,235,14
Roschon Johnson,RB,CHI,17.25,0.28,6,236,57
David Sills,WR,ATL,17.16,4.09,12,237,142
Keaton Mitchell,RB,BAL,17.12,4.26,13,238,58
Marquez Valdes-Scantling,WR,PIT,17.1,4.8,5,239,143
Devin Neal,RB,NO,17.06,6.67,9,240,59
T.J. Hockenson,TE,MIN,17.05,7.52,15,241,25
Samaje Perine,RB,CIN,16.96,5.19,15,242,60
Devontez Walker,WR,BAL,16.84,4.7,8,243,144
Jaylin Noel,WR,HOU,16.83,4.02,17,244,145
Joe Burrow,QB,CIN,16.81,16.81,8,245,15
Dyami Brown,WR,JAX,16.77,4.52,11,246,146
Robbie Chosen,WR,WAS,16.74,3.43,3,247,147
Audric Estimé,RB,NO,16.57,9.62,5,248,61
Ty Johnson,RB,BUF,16.55,5.9,17,249,62
Lamar Jackson,QB,BAL,16.53,16.53,13,250,16
Brycen Tremayne,WR,CAR,16.33,2.0,15,251,148
Jayden Daniels,QB,WAS,16.33,16.33,7,252,17
Roman Wilson,WR,PIT,16.26,4.29,9,253,149
Jacoby Brissett,QB,ARI,16.25,16.25,14,254,18
Nick Chubb,RB,HOU,16.24,5.89,15,255,63
Justin Watson,WR,HOU,16.22,2.0,3,256,150
Greg Dulcich,TE,MIA,16.2,6.98,9,257,26
AJ Barner,TE,SEA,16.11,8.66,17,258,27
Chig Okonkwo,TE,TEN,16.06,7.29,17,259,28
Baker Mayfield,QB,TB,16.0,16.0,17,260,19
Justin Fields,QB,NYJ,15.85,15.85,9,261,20
Tank Bigsby,RB,PHI,15.7,3.76,14,262,64
Jordan Love,QB,GB,15.68,15.68,15,263,21
Kyler Murray,QB,ARI,15.56,15.56,5,264,22
Jake Tonges,TE,SF,15.55,9.33,10,265,29
Tyler Allgeier,RB,ATL,15.51,7.24,17,266,65
Emanuel Wilson,RB,GB,15.51,5.56,17,267,66
Isaiah Bond,WR,CLE,15.49,3.65,15,268,151
Demarcus Robinson,WR,SF,15.47,4.16,14,269,152
Evan Engram,TE,DEN,15.45,6.42,16,270,30
Kyle Williams,WR,NE,15.38,3.51,14,271,153
Ray-Ray McCloud,WR,ATL,15.36,3.1,4,272,154
Casey Washington,WR,ATL,15.3,3.08,5,273,155
Devin Singletary,RB,NYG,15.14,6.4,17,274,67
Jalen Tolbert,WR,DAL,15.1,3.86,12,275,156
Isaac TeSlaa,WR,DET,15.04,5.42,14,276,157
C.J. Stroud,QB,HOU,14.9,14.9,14,277,23
David Njoku,TE,CLE,14.88,7.85,11,278,31
Jaylen Wright,RB,MIA,14.82,5.36,9,279,68
Jaleel McLaughlin,RB,DEN,14.82,3.92,8,280,69
Michael Mayer,TE,LV,14.72,5.68,13,281,32
Colby Parkinson,TE,LA,14.7,9.27,14,282,33
Malik Davis,RB,DAL,14.55,4.06,10,283,70
Mitchell Tinsley,WR,CIN,14.51,3.95,8,284,158
Andre Baccellia,WR,ARI,14.49,0.7,4,285,159
Dylan Drummond,WR,ATL,14.46,1.87,6,286,160
Pat Freiermuth,TE,PIT,14.4,7.57,15,287,34
Tyler Shough,QB,NO,14.36,14.36,11,288,24
Jahan Dotson,WR,PHI,14.27,3.35,15,289,161
Aaron Rodgers,QB,PIT,14.19,14.19,16,290,25
Tom Kennedy,WR,DET,14.18,1.27,6,291,162
Kendre Miller,RB,NO,14.14,4.76,7,292,71
Dylan Sampson,RB,CLE,14.13,5.84,15,293,72
Carson Wentz,QB,MIN,14.07,14.07,5,294,26
Jaylin Lane,WR,WAS,14.05,3.41,15,295,163
Ray Davis,RB,BUF,14.02,3.77,17,296,73
Jahdae Walker,WR,CHI,14.02,4.45,6,297,164
Raheem Mostert,RB,LV,13.98,2.45,12,298,74
Bhayshul Tuten,RB,JAX,13.95,5.91,15,299,75
Chris Rodriguez Jr.,RB,WAS,13.92,7.67,12,300,76
Dont'e Thornton Jr.,WR,LV,13.87,2.14,11,301,165
Sam Darnold,QB,SEA,13.85,13.85,17,302,27
Braelon Allen,RB,NYJ,13.84,3.82,4,303,77
Allen Lazard,WR,NYJ,13.77,2.56,9,304,166
Raheim Sanders,RB,CLE,13.73,5.08,4,305,78
Najee Harris,RB,LAC,13.66,3.87,3,306,79
Jaret Patterson,RB,LAC,13.65,4.28,6,307,80
Bryce Young,QB,CAR,13.63,13.63,16,308,28
Hunter Luepke,RB,DAL,13.57,2.64,14,309,81
Antonio Gibson,RB,NE,13.53,4.64,5,310,82
Dawson Knox,TE,BUF,13.44,6.48,16,311,35
Joe Flacco,QB,CIN,13.42,13.42,9,312,29
Michael Penix Jr.,QB,ATL,13.36,13.36,9,313,30
Cedrick Wilson Jr.,WR,MIA,13.33,1.57,6,314,167
Jerome Ford,RB,CLE,13.31,3.35,13,315,83
Ben Skowronek,WR,PIT,13.26,1.06,16,316,168
Andrew Beck,RB,NYJ,13.22,2.09,11,317,84
Corey Kiner,RB,ARI,13.19,2.33,4,318,85
Bam Knight,RB,ARI,13.1,7.74,12,319,86
Isaiah Likely,TE,BAL,13.08,5.14,12,320,36
Darnell Washington,TE,PIT,12.9,5.65,13,321,37
Sean Tucker,RB,TB,12.82,5.38,17,322,87
Xavier Smith,WR,LA,12.76,3.02,16,323,169
Brashard Smith,RB,KC,12.74,3.72,17,324,88
Tutu Atwell,WR,LA,12.72,3.9,8,325,170
Ameer Abdullah,RB,IND,12.68,2.92,13,326,89
Mike Gesicki,TE,CIN,12.68,5.89,12,327,38
AJ Dillon,RB,PHI,12.56,1.52,6,328,90
Marcus Mariota,QB,WAS,12.55,12.55,10,329,31
J.J. McCarthy,QB,MIN,12.54,12.54,10,330,32
Braxton Berrios,WR,HOU,12.46,2.43,4,331,171
Tyler Higbee,TE,LA,12.25,7.11,10,332,39
Deven Thompkins,WR,ATL,12.09,0.89,7,333,172
Chris Brooks,RB,GB,12.09,1.92,17,334,91
James Proche,WR,TEN,12.09,2.08,6,335,173
Nikko Remigio,WR,KC,12.08,0.3,14,336,174
Gunnar Helm,TE,TEN,12.06,5.73,16,337,40
Arian Smith,WR,NYJ,11.99,1.04,13,338,175
Jaydon Blue,RB,DAL,11.99,4.08,5,339,92
Jalen Brooks,WR,ARI,11.97,2.03,4,340,176
Adam Prentice,RB,DEN,11.89,1.21,13,341,93
Mac Jones,QB,SF,11.82,11.82,11,342,33
Konata Mumpfield,WR,LA,11.69,2.52,10,343,177
David Moore,WR,CAR,11.69,0.9,3,344,178
Geno Smith,QB,LV,11.59,11.59,15,345,34
Zavier Scott,RB,MIN,11.58,3.56,11,346,94
Brian Robinson,RB,SF,11.53,3.68,17,347,95
Savion Williams,WR,GB,11.5,2.13,12,348,179
Tua Tagovailoa,QB,MIA,11.48,11.48,14,349,35
Davis Mills,QB,HOU,11.43,11.43,6,350,36
Jonnu Smith,TE,PIT,11.33,5.01,17,351,41
Ke'Shawn Williams,WR,CIN,11.29,0.83,3,352,180
Jacob Saylors,RB,DET,11.14,0.1,11,353,96
Spencer Rattler,QB,NO,11.02,11.02,9,354,37
Cole Kmet,TE,CHI,11.01,4.92,16,355,42
Cam Ward,QB,TEN,10.98,10.98,17,356,38
Ronnie Rivers,RB,LA,10.93,0.77,6,357,97
Nick Westbrook-Ikhine,WR,MIA,10.87,1.53,13,358,181
Ty Chandler,RB,MIN,10.84,2.93,3,359,98
Austin Trammell,WR,JAX,10.72,1.27,6,360,182
Trevor Etienne,RB,CAR,10.63,0.81,17,361,99
Shedeur Sanders,QB,CLE,10.61,10.61,8,362,39
Mason Tipton,WR,NO,10.55,2.55,8,363,183
Noah Fant,TE,CIN,10.49,5.75,13,364,43
Tyler Badie,RB,DEN,10.44,2.21,16,365,100
British Brooks,RB,HOU,10.43,0.98,8,366,101
Kirk Cousins,QB,ATL,10.35,10.35,10,367,40
Rasheen Ali,RB,BAL,10.22,1.61,15,368,102
Jalin Hyatt,WR,NYG,10.11,1.42,6,369,184
DJ Giddens,RB,IND,10.11,1.92,5,370,103
Will Shipley,RB,PHI,9.96,1.39,14,371,104
Tyrod Taylor,QB,NYJ,9.91,9.91,6,372,41
KeAndre Lambert-Smith,WR,LAC,9.89,1.61,10,373,185
Xavier Weaver,WR,ARI,9.88,1.96,7,374,186
Ja'Tavion Sanders,TE,CAR,9.85,4.5,12,375,44
Jake Browning,QB,CIN,9.75,9.75,5,376,42
LeQuint Allen Jr.,RB,JAX,9.74,1.55,16,377,105
Tommy Tremble,TE,CAR,9.74,4.26,15,378,45
Khalil Herbert,RB,NYJ,9.57,1.32,5,379,106
Beaux Collins,WR,NYG,9.39,1.12,4,380,187
Zamir White,RB,LV,9.17,1.92,5,381,107
Luke Musgrave,TE,GB,9.16,3.78,13,382,46
Terrance Ferguson,TE,LA,9.15,4.74,11,383,47
Brock Wright,TE,DET,9.12,4.6,8,384,48
Mason Kinsey,WR,TEN,9.04,1.13,6,385,188
Trent Sherfield,WR,DEN,8.98,1.7,3,386,189
Gage Larvadain,WR,CLE,8.94,1.11,13,387,190
Terrell Jennings,RB,NE,8.87,2.53,6,388,108
Austin Hooper,TE,NE,8.78,4.56,13,389,49
Kene Nwangwu,RB,NYJ,8.77,1.09,10,390,109
George Holani,RB,SEA,8.74,2.08,10,391,110
Tai Felton,WR,MIN,8.73,0.46,12,392,191
Skyy Moore,WR,SF,8.69,0.87,17,393,192
Dareke Young,WR,SEA,8.68,0.85,8,394,193
Cade Stover,TE,HOU,8.67,3.32,6,395,50
Ben Sims,TE,MIN,8.67,2.0,3,396,51
Alex Bachman,WR,LV,8.52,0.29,11,397,194
Russell Wilson,QB,NYG,8.31,8.31,6,398,43
Elijah Arroyo,TE,SEA,8.28,2.84,13,399,52
Daniel Bellinger,TE,NYG,8.22,4.58,13,400,53
Hunter Long,TE,JAX,8.2,4.64,7,401,54
Ollie Gordon II,RB,MIA,8.13,3.18,17,402,111
Noah Gray,TE,KC,8.09,2.77,14,403,55
Tanner Hudson,TE,CIN,8.04,4.78,10,404,56
Sione Vaki,RB,DET,8.04,0.05,8,405,112
Tyler Huntley,QB,BAL,8.03,8.03,5,406,44
Josh Oliver,TE,MIN,7.97,4.58,12,407,57
Julius Chestnut,RB,TEN,7.95,0.25,16,408,113
Evan Hull,RB,NO,7.87,1.07,6,409,114
Dee Eskridge,WR,MIA,7.78,0.93,11,410,195
Dare Ogunbowale,RB,HOU,7.61,1.72,14,411,115
Ben Sinnott,TE,WAS,7.51,3.16,9,412,58
Jeremy Ruckert,TE,NYJ,7.5,3.35,14,413,59
Davis Allen,TE,LA,7.44,4.19,15,414,60
Hassan Haskins,RB,LAC,7.32,0.91,11,415,116
Elijah Higgins,TE,ARI,7.21,3.42,17,416,61
Jackson Hawes,TE,BUF,7.2,4.05,13,417,62
Mitchell Evans,TE,CAR,7.07,3.44,14,418,63
Ryan Miller,WR,TB,7.02,1.27,9,419,196
Dillon Gabriel,QB,CLE,7.01,7.01,10,420,45
Tylan Wallace,WR,BAL,6.83,1.32,11,421,197
John Bates,TE,WAS,6.77,2.73,10,422,64
Dameon Pierce,RB,HOU,6.72,0.65,4,423,117
Julian Hill,TE,MIA,6.67,2.82,11,424,65
Kaleb Johnson,RB,PIT,6.58,0.88,10,425,118
Tahj Brooks,RB,CIN,6.54,0.53,12,426,119
Tyler Goodson,RB,IND,6.37,0.52,10,427,120
Tanner Conner,TE,MIA,6.36,2.26,8,428,66
Riley Leonard,QB,IND,6.2,6.2,5,429,46
Will Dissly,TE,LAC,6.11,2.59,8,430,67
Mo Alie-Cox,TE,IND,6.1,2.79,11,431,68
Adam Trautman,TE,DEN,6.02,3.5,13,432,69
Grant Calcaterra,TE,PHI,5.86,2.51,9,433,70
Jonathan Mingo,WR,DAL,5.82,0.7,5,434,198
Brady Cook,QB,NYJ,5.69,5.69,5,435,47
Anthony Firkser,TE,DET,5.64,2.66,5,436,71
Kameron Johnson,WR,TB,5.57,1.04,17,437,199
Nate Adkins,TE,DEN,5.54,2.8,6,438,72
Tyler Conklin,TE,LAC,5.54,2.88,6,439,73
Anthony Gould,WR,IND,5.5,0.24,11,440,200
Charlie Kolar,TE,BAL,5.45,2.78,13,441,74
KhaDarel Hodge,WR,ATL,5.22,0.76,8,442,201
Tip Reiman,TE,ARI,5.16,1.6,3,443,75
Josh Whyle,TE,GB,5.09,2.43,6,444,76
John FitzPatrick,TE,GB,5.07,2.29,11,445,77
Ian Thomas,TE,LV,5.06,2.71,9,446,78
Drew Sample,TE,CIN,5.04,2.66,12,447,79
Keleki Latu,TE,BUF,5.04,2.5,3,448,80
Kalel Mullings,RB,TEN,4.98,0.18,4,449,121
Johnny Mundt,TE,JAX,4.94,1.68,12,450,81
D'Ernest Johnson,RB,NE,4.93,0.62,4,451,122
Derius Davis,WR,LAC,4.91,0.32,11,452,202
Luke Schoonmaker,TE,DAL,4.9,1.94,14,453,82
Stone Smartt,TE,NYJ,4.88,2.03,6,454,83
Taysom Hill,TE,NO,4.76,3.21,13,455,84
Foster Moreau,TE,NO,4.47,1.84,7,456,85
Devin Duvernay,WR,CHI,4.44,0.27,17,457,203
Charlie Woerner,TE,ATL,4.34,1.83,7,458,86
Luke Farrell,TE,SF,3.86,2.27,13,459,87
Jack Stoll,TE,NO,3.67,1.84,9,460,88
Quintin Morris,TE,JAX,3.42,1.59,11,461,89
Harrison Bryant,TE,HOU,3.4,0.54,5,462,90
Ross Dwelley,TE,DET,3.33,0.68,4,463,91
Dylan Laube,RB,LV,3.32,0.34,17,464,123
Brenden Bates,TE,CLE,3.19,1.12,4,465,92
Brevyn Spann-Ford,TE,DAL,3.05,1.5,16,466,93
Mason Rudolph,QB,PIT,3.0,3.0,5,467,48
Eric Saubert,TE,SEA,2.96,1.01,9,468,94
Craig Reynolds,RB,DET,2.79,0.08,5,469,124
Robbie Ouzts,RB,SEA,2.74,0.0,4,470,125
Tucker Fisk,TE,LAC,2.72,0.98,4,471,95
